n,J,R,rep,AMSE_Random,AMSE_MaxTwin_plus,AMSE_WMaxTwin_plus,diff_Random_minus_MaxTwin_plus,diff_MaxTwin_plus_minus_WMaxTwin_plus,abs_signed_overlap
60,5,8,1,0.08061781496293711,0.056693638781632236,0.04800089214491246,0.02392417618130488,0.008692746636719775,0.13333333333333333
60,5,8,2,0.1065903240388486,0.057559826818852536,0.05340576435857824,0.04903049721999607,0.004154062460274298,0.06666666666666667
60,5,8,3,0.08504288912763411,0.04890133643955232,0.04636888223160136,0.036141552688081786,0.0025324542079509585,0.0
60,5,8,4,0.07435237440315799,0.07769994259062175,0.06257259311757284,-0.003347568187463762,0.015127349473048918,0.0
60,5,8,5,0.10748093953033101,0.09715739241951984,0.0849788593558723,0.010323547110811168,0.01217853306364755,0.06666666666666667
60,5,8,6,0.06946419220483906,0.06978324438538899,0.06334336250863479,-0.00031905218054993634,0.006439881876754205,0.0
60,5,8,7,0.05312861121655325,0.026505920475560062,0.02181790198806155,0.026622690740993184,0.0046880184874985124,0.26666666666666666
60,5,8,8,0.06485986939628254,0.0536333920186436,0.04197711425169008,0.011226477377638933,0.011656277766953521,0.13333333333333333
60,5,8,9,0.054821300673875695,0.039384012158042235,0.028795799997433254,0.01543728851583346,0.01058821216060898,0.2
60,5,8,10,0.07987450103043377,0.04068436543051068,0.03305176546011964,0.039190135599923084,0.007632599970391042,0.06666666666666667
60,5,8,11,0.10769807262680853,0.06023650979911628,0.050854006753310144,0.04746156282769225,0.009382503045806137,0.2
60,5,8,12,0.09099669027877541,0.043930241023819386,0.0389665700698175,0.047066449254956025,0.004963670954001888,0.06666666666666667
60,5,8,13,0.07200364240078096,0.05820567686400105,0.05116884862244795,0.013797965536779908,0.007036828241553099,0.0
60,5,8,14,0.07751170324809753,0.03244026125985229,0.028833981448088054,0.04507144198824524,0.003606279811764236,0.26666666666666666
60,5,8,15,0.05725813303698757,0.04231250792012349,0.03907646014850673,0.014945625116864078,0.0032360477716167624,0.2
60,5,8,16,0.08774495945509173,0.05987266838694211,0.04771601422089491,0.02787229106814962,0.0121566541660472,0.06666666666666667
60,5,8,17,0.07171165337225338,0.06426597350237373,0.05179991153975817,0.007445679869879651,0.012466061962615557,0.06666666666666667
60,5,8,18,0.10474331080994283,0.059532015529614596,0.05514483882289564,0.04521129528032823,0.004387176706718954,0.06666666666666667
60,5,8,19,0.10980097553995541,0.07234917946756383,0.062464297447213435,0.037451796072391574,0.0098848820203504,0.13333333333333333
60,5,8,20,0.07127946062941548,0.0612966536802972,0.046639596868552194,0.00998280694911828,0.014657056811745006,0.26666666666666666
60,5,8,21,0.0759058736587881,0.05222311323142545,0.042214354637240915,0.023682760427362656,0.010008758594184534,0.2
60,5,8,22,0.10313804771703289,0.09128181134627025,0.08440495217329325,0.011856236370762635,0.006876859172977007,0.13333333333333333
60,5,8,23,0.07970136874388138,0.04498850641402012,0.043771531378982764,0.03471286232986126,0.001216975035037357,0.06666666666666667
60,5,8,24,0.05525526388796806,0.033488912659344935,0.030800689020082213,0.021766351228623124,0.0026882236392627226,0.13333333333333333
60,5,8,25,0.09232167640602892,0.06326145423276178,0.05439936661287805,0.029060222173267147,0.008862087619883725,0.3333333333333333
60,5,8,26,0.13168979263635855,0.08495895066416341,0.08407232619337343,0.04673084197219514,0.000886624470789979,0.26666666666666666
60,5,8,27,0.14983209258640579,0.05788973758696804,0.05705492238301307,0.09194235499943774,0.0008348152039549736,0.2
60,5,8,28,0.05921789669405924,0.049054789056439826,0.040725332463421,0.010163107637619413,0.008329456593018827,0.3333333333333333
60,5,8,29,0.11259613964537338,0.04993793090187519,0.04691599819246744,0.06265820874349819,0.0030219327094077528,0.2
60,5,8,30,0.10563454364832074,0.05731544295211743,0.056166330782443805,0.048319100696203314,0.0011491121696736231,0.06666666666666667
60,5,8,31,0.09175372378213582,0.052903110160360936,0.05004677988496573,0.03885061362177489,0.002856330275395204,0.2
60,5,8,32,0.07813850301493602,0.0613795031078187,0.053027880404533906,0.016758999907117322,0.008351622703284795,0.06666666666666667
60,5,8,33,0.1196519958959088,0.08232532331390244,0.06675075654935611,0.037326672582006365,0.015574566764546327,0.13333333333333333
60,5,8,34,0.07299754939087812,0.06560090933464616,0.056362520664669825,0.0073966400562319595,0.009238388669976332,0.06666666666666667
60,5,8,35,0.07718950959736216,0.05366797563426186,0.03588890641094599,0.023521533963100305,0.017779069223315867,0.13333333333333333
60,5,8,36,0.07546159733910969,0.06273379045098267,0.05541864648681009,0.012727806888127025,0.007315143964172578,0.06666666666666667
60,5,8,37,0.09492876632790904,0.0720065912728878,0.06635152176014594,0.02292217505502124,0.0056550695127418615,0.06666666666666667
60,5,8,38,0.09792145191530274,0.0811938414922301,0.06786863023717868,0.016727610423072636,0.013325211255051428,0.2
60,5,8,39,0.05206978968801172,0.02851111999191378,0.024871769623052674,0.02355866969609794,0.003639350368861108,0.06666666666666667
60,5,8,40,0.09236233072058916,0.062108832320977636,0.05597910729012427,0.030253498399611528,0.006129725030853364,0.3333333333333333
60,5,8,41,0.09379009998881657,0.07486969114045547,0.07041356404081844,0.018920408848361103,0.004456127099637025,0.2
60,5,8,42,0.1015469365926295,0.0777137882930731,0.07574299515013183,0.023833148299556406,0.0019707931429412684,0.4
60,5,8,43,0.07763221919611575,0.06047561528049421,0.05003689010012673,0.017156603915621543,0.01043872518036748,0.06666666666666667
60,5,8,44,0.07352606700610739,0.03799392441008427,0.03464094661059115,0.03553214259602312,0.0033529777994931176,0.4666666666666667
60,5,8,45,0.10259348976394353,0.07981210093803945,0.07175590627992898,0.02278138882590408,0.008056194658110472,0.13333333333333333
60,5,8,46,0.08366465725701105,0.056131414771198165,0.05125224653522812,0.02753324248581289,0.004879168235970045,0.06666666666666667
60,5,8,47,0.11043078266419887,0.0768051704570284,0.06618453841949938,0.033625612207170474,0.010620632037529013,0.0
60,5,8,48,0.0394061022399336,0.04384940400010856,0.028325466225887948,-0.004443301760174961,0.015523937774220613,0.13333333333333333
60,5,8,49,0.11177331180246608,0.09255820997684697,0.08118682594969948,0.019215101825619113,0.01137138402714749,0.0
60,5,8,50,0.11956055308138916,0.07719303057651243,0.07549467382820929,0.04236752250487673,0.0016983567483031398,0.3333333333333333
60,5,8,51,0.10809839388397818,0.05224028237552075,0.046644859513038546,0.05585811150845743,0.005595422862482206,0.13333333333333333
60,5,8,52,0.10415268845281095,0.08940987550106803,0.08491497521769847,0.014742812951742915,0.00449490028336956,0.2
60,5,8,53,0.12136585967546448,0.07451065642445703,0.06384084613826463,0.04685520325100745,0.010669810286192405,0.0
60,5,8,54,0.08451271863314086,0.06946959977634076,0.060177979801269335,0.015043118856800097,0.009291619975071427,0.13333333333333333
60,5,8,55,0.1399577220283008,0.07196632100154923,0.06690710487203952,0.06799140102675158,0.005059216129509714,0.2
60,5,8,56,0.10204504984390715,0.09439948344223355,0.07985976369366926,0.007645566401673604,0.014539719748564287,0.0
60,5,8,57,0.06961632076895592,0.05904078501443848,0.048898526856748455,0.010575535754517446,0.010142258157690022,0.0
60,5,8,58,0.07168263993184551,0.06740114273933986,0.05549714999099217,0.0042814971925056455,0.011903992748347691,0.26666666666666666
60,5,8,59,0.15231304658618802,0.07613842181178095,0.06986303038163705,0.07617462477440708,0.006275391430143898,0.3333333333333333
60,5,8,60,0.08608508493034794,0.05116049078833315,0.04551606733936676,0.03492459414201479,0.005644423448966394,0.2
60,5,8,61,0.07809332005601378,0.06186783725649735,0.05969688625278232,0.01622548279951643,0.0021709510037150326,0.06666666666666667
60,5,8,62,0.09106221717419574,0.05108331042782528,0.04355624252886594,0.03997890674637046,0.007527067898959343,0.0
60,5,8,63,0.06586561173850333,0.053457311717170906,0.041300566358196,0.012408300021332426,0.012156745358974909,0.06666666666666667
60,5,8,64,0.058951500135603414,0.043870641061849236,0.03170543252397929,0.015080859073754178,0.012165208537869947,0.06666666666666667
60,5,8,65,0.11430916503456988,0.06364736048593625,0.05438110145024448,0.05066180454863363,0.009266259035691768,0.06666666666666667
60,5,8,66,0.08729219586872888,0.049890360765354566,0.04415113880325333,0.03740183510337432,0.005739221962101235,0.13333333333333333
60,5,8,67,0.07438196283846794,0.0721592676621228,0.06276401752035117,0.0022226951763451436,0.00939525014177163,0.13333333333333333
60,5,8,68,0.06832258203105865,0.056772324929872164,0.05153431098911718,0.011550257101186484,0.0052380139407549875,0.2
60,5,8,69,0.07577715701087724,0.04884872100804469,0.045674179892835606,0.026928436002832554,0.0031745411152090813,0.2
