rep,Noisy,LevelSure,NasonEvenOddCV,MaxTwinFixedCV,WMaxTwinRampCV,OracleRamp,selected_wmax_slope,oracle_slope,selected_fixed_nason,selected_fixed_maxtwin
1,1.060270123347461,0.17112264373948927,0.20463530465206153,0.22463737447819973,0.1643690947926093,0.1638125313111458,2.8,3.0,1.4,1.2
2,0.9499070101600326,0.14768721646016075,0.1987268208988488,0.1987268208988488,0.13729976313104525,0.13040606346987813,2.1999999999999997,2.7,1.2,1.2
3,1.0496517962710037,0.13678220920781017,0.17767960047600823,0.19779500014606471,0.1331184672279659,0.13039230721053985,3.4,2.9,1.4,1.2
4,1.0089139074717763,0.14166516061093687,0.19191199244819068,0.19191199244819068,0.1296235144974191,0.12602166964601005,3.4,2.8000000000000003,1.2,1.2
5,0.9620043272052863,0.12190314536056732,0.1769242470400661,0.1769242470400661,0.11952588599376722,0.11399415989546346,3.4,2.8000000000000003,1.2,1.2
6,1.0567505289512813,0.15976912764349863,0.2007294753400758,0.2451815644896324,0.14615360915914205,0.14615360915914205,3.1999999999999997,3.2,1.2,1.0
7,1.0438012019013412,0.17127188981111524,0.2022906974996239,0.2022906974996239,0.13477324079596315,0.13129866717520466,3.4,2.9,1.2,1.2
8,1.0225577265166035,0.1340846041457311,0.1748028685763423,0.19347919447530842,0.1389094131112009,0.1325568191015437,3.4,2.6,1.4,1.2
9,0.9624726063695298,0.12155973015937582,0.1749006619101006,0.2094292344565063,0.12163276473577343,0.11962969453609301,3.0,2.7,1.2,1.0
10,0.9592675275263367,0.13004627552180778,0.16767209671577288,0.2061051970845671,0.11728391275408066,0.11728391275408066,2.8,2.8000000000000003,1.2,1.0
11,1.0331346021211714,0.15939691005498302,0.22202567722802874,0.2627706996713699,0.15977918713710282,0.1541227840284417,3.4,2.8000000000000003,1.2,1.0
12,0.9793536075117503,0.12597195804070538,0.1860531813466873,0.22030130392592862,0.1289017105462257,0.12175949262895899,3.4,2.6,1.2,1.0
13,1.0047670806258784,0.12664857445312516,0.1872633170247331,0.22432179607416003,0.13690953157199842,0.1256525668160417,3.4,2.4,1.2,1.0
14,0.9660312401802797,0.14446636938044236,0.18193610708027505,0.18193610708027505,0.12330554221501339,0.12316204978148038,3.0,2.9,1.2,1.2
15,1.018689361642441,0.1565426957130055,0.25221565313556765,0.21356742155173064,0.13714010990726733,0.12840470927452388,3.4,2.7,1.0,1.2
16,1.0278718137776035,0.15542129073629724,0.20709350143638805,0.20709350143638805,0.14954012726348723,0.14402196193801456,3.4,2.6,1.2,1.2
17,0.9811327241338039,0.1218796734779099,0.18418216153793096,0.2195921407436459,0.11804354657265834,0.11782061111799266,2.8,2.9,1.2,1.0
18,1.0126653941058712,0.1339834073066448,0.1993086114661896,0.2362990804373083,0.13172402762283297,0.1310715638848372,3.1999999999999997,3.0,1.2,1.0
