"n","J","R","Random","MaxTwin_plus","WMaxTwin_plus","Gain_WMaxTwin_vs_Random_percent","Gain_WMaxTwin_vs_MaxTwin_percent","Gain_MaxTwin_vs_Random_percent","Median_abs_signed_overlap","Frac_MaxTwin_better_than_Random","Frac_WMaxTwin_better_than_MaxTwin"
60,5,8,0.0888964417255073,0.0650675622425074,0.0576530817258834,35.145793682155,11.39504887088,26.8052117952913,0.133333333333333,0.98,0.98
80,5,10,0.0703667528126024,0.0500127425362418,0.0451059859083646,35.898724745067,9.81101291200239,28.9256068566451,0.1,0.973333333333333,1
80,6,10,0.0713925026538818,0.0508575272286446,0.0454977035898365,36.2710342143152,10.5388994134762,28.7634900891385,0.1,0.966666666666667,0.986666666666667
120,5,12,0.0527853778970794,0.0386217215122842,0.0356579431587598,32.4473091235882,7.67386392287476,26.8325376251193,0.0666666666666667,0.986666666666667,0.993333333333333
